TABLE;CODE;PAC1;PAC2;VOLTAGE;PHASES;SEC_PHASES;VOLTAGE_TYPE;FEEDER;TRANSFORMER_TYPE
UCBT;2000352388;16241380PE;;;AN;;BT;BRBBB-FC;
UCBT;91403978;16165209PE;;;AN;;BT;BRBBB-FC;
UCBT;2000510854;15374344PE;;;AN;;BT;BRBBB-FC;
UCBT;2000510849;16167887PE;;;AN;;BT;BRBBB-FC;
UCBT;95713475;13799695PE;;;AN;;BT;BRBBB-FC;
UCBT;104190057;13800786PE;;;AN;;BT;BRBBB-FC;
UCBT;11213006;5005729PE;;;AN;;BT;BRBBB-FC;
UCBT;13893764;16376242PE;;;AN;;BT;BRBBB-FC;
UCBT;41638079;13798561PE;;;AN;;BT;BRBBB-FC;
UCBT;2000131451;10758786PE;;;AN;;BT;BRBBB-FC;
UCBT;95546498;13799408PE;;;AN;;BT;BRBBB-FC;
UCBT;12411618;16378410PE;;;AN;;BT;BRBBB-FC;
UCBT;96137974;16165453PE;;;AN;;BT;BRBBB-FC;
UCBT;2000131058;13802340PE;;;AN;;BT;BRBBB-FC;
UCBT;2000528732;16536412PE;;;AN;;BT;BRBBB-FC;
UCBT;2000333952;14020485PE;;;AN;;BT;BRBBB-FC;
UCBT;102538790;16414340PE;;;AN;;BT;BRBBB-FC;
UCBT;19056007;5074954PE;;;AN;;BT;BRBBB-FC;
UCBT;102537459;16169092PE;;;AN;;BT;BRBBB-FC;
UCBT;20402644;16418262PE;;;ABN;;BT;BRBBB-FC;
UCBT;2000088204;13799086PE;;;AN;;BT;BRBBB-FC;
UCBT;2000082826;13799129PE;;;AN;;BT;BRBBB-FC;
UCBT;102539010;16256974PE;;;AN;;BT;BRBBB-FC;
UCBT;91400197;16165070PE;;;AN;;BT;BRBBB-FC;
UCBT;96088582;16168441PE;;;AN;;BT;BRBBB-FC;
UCBT;13106428;13806224PE;;;AN;;BT;BRBBB-FC;
UCBT;16030872;13800880PE;;;AN;;BT;BRBBB-FC;
UCBT;91400995;16165071PE;;;AN;;BT;BRBBB-FC;
UCBT;17644629;5074795PE;;;AN;;BT;BRBBB-FC;
UCBT;102455339;16359971PE;;;AN;;BT;BRBBB-FC;
UCBT;102972023;13800464PE;;;AN;;BT;BRBBB-FC;
UCBT;95546862;16165460PE;;;AN;;BT;BRBBB-FC;
UCBT;2000510864;15374339PE;;;AN;;BT;BRBBB-FC;
UCBT;14500260;13807897PE;;;AN;;BT;BRBBB-FC;
UCBT;2000510861;15373666PE;;;AN;;BT;BRBBB-FC;
UCBT;11431607;13805121PE;;;AN;;BT;BRBBB-FC;
UCBT;103096774;13800634PE;;;AN;;BT;BRBBB-FC;
UCBT;16366080;16332658PE;;;AN;;BT;BRBBB-FC;
UCBT;96687605;13799852PE;;;AN;;BT;BRBBB-FC;
UCBT;2000456921;14899458PE;;;AN;;BT;BRBBB-FC;
UCBT;96489137;13799595PE;;;AN;;BT;BRBBB-FC;
UCBT;17322508;13809051PE;;;AN;;BT;BRBBB-FC;
UCBT;12571801;16168314PE;;;AN;;BT;BRBBB-FC;
UCBT;90846825;16351420PE;;;AN;;BT;BRBBB-FC;
UCBT;11213120;13805244PE;;;AN;;BT;BRBBB-FC;
UCBT;106112959;13801268PE;;;AN;;BT;BRBBB-FC;
UCBT;18676249;5074815PE;;;AN;;BT;BRBBB-FC;
UCBT;108505125;13801960PE;;;AN;;BT;BRBBB-FC;
UCBT;96681291;13799891PE;;;AN;;BT;BRBBB-FC;
UCBT;103043484;5074973PE;;;AN;;BT;BRBBB-FC;
UCBT;2000131179;13802632PE;;;AN;;BT;BRBBB-FC;
UCBT;2000085997;16166654PE;;;AN;;BT;BRBBB-FC;
UCBT;15995432;16164267PE;;;AN;;BT;BRBBB-FC;
UCBT;2000494077;15042678PE;;;AN;;BT;BRBBB-FC;
UCBT;20196343;13798320PE;;;AN;;BT;BRBBB-FC;
UCBT;2000083064;13799123PE;;;AN;;BT;BRBBB-FC;
UCBT;2000431895;16166546PE;;;AN;;BT;BRBBB-FC;
UCBT;90816055;13798393PE;;;AN;;BT;BRBBB-FC;
UCBT;16812102;16166977PE;;;AN;;BT;BRBBB-FC;
UCBT;17322788;5005459PE;;;AN;;BT;BRBBB-FC;
UCBT;103196450;13800598PE;;;AN;;BT;BRBBB-FC;
UCBT;2000511147;15092373PE;;;AN;;BT;BRBBB-FC;
UCBT;11097588;14137034PE;;;AN;;BT;BRBBB-FC;
UCBT;2000628991;16198927PE;;;AN;;BT;BRBBB-FC;
UCBT;103902940;13800833PE;;;AN;;BT;BRBBB-FC;
UCBT;90826107;13798854PE;;;AN;;BT;BRBBB-FC;
UCBT;2000083320;16506420PE;;;AN;;BT;BRBBB-FC;
UCBT;2000237449;13272244PE;;;AN;;BT;BRBBB-FC;
UCBT;2000353676;16168964PE;;;AN;;BT;BRBBB-FC;
UCBT;2000528470;16536362PE;;;AN;;BT;BRBBB-FC;
UCBT;16272027;14143970PE;;;AN;;BT;BRBBB-FC;
UCBT;14948937;16329806PE;;;AN;;BT;BRBBB-FC;
UCBT;16701750;13983057PE;;;AN;;BT;BRBBB-FC;
UCBT;13135681;13806212PE;;;AN;;BT;BRBBB-FC;
UCBT;17644882;16168927PE;;;AN;;BT;BRBBB-FC;
UCBT;12513186;16372213PE;;;AN;;BT;BRBBB-FC;
UCBT;2000300611;13802354PE;;;AN;;BT;BRBBB-FC;
UCBT;2000482538;15199666PE;;;AN;;BT;BRBBB-FC;
UCBT;2000524045;17018387PE;;;AN;;BT;BRBBB-FC;
UCBT;95546366;13799413PE;;;AN;;BT;BRBBB-FC;
UCBT;2000430854;16166488PE;;;AN;;BT;BRBBB-FC;
UCBT;2000482565;15199676PE;;;AN;;BT;BRBBB-FC;
UCBT;102539508;13800183PE;;;AN;;BT;BRBBB-FC;
UCBT;2000511116;15093263PE;;;AN;;BT;BRBBB-FC;
