"TABLE","CODE","PAC1","PAC2","VOLTAGE","PHASES","SEC_PHASES","VOLTAGE_TYPE","FEEDER","TRANSFORMER_TYPE","X1","Y1","X2","Y2"
"UCBT","11918794","13805632PE","",,"AN","","BT","BRBBB-FC","",-49.492003423,-3.78659043499999,0,0
"UCBT","16700800","15166104PE","",,"AN","","BT","BRBBB-FC","",-49.445903355,-3.42988863099998,0,0
"UCBT","16701394","13808220PE","",,"AN","","BT","BRBBB-FC","",-49.443444115,-3.427938869,0,0
"UCBT","13403511","15168209PE","",,"AN","","BT","BRBBB-FC","",-49.537003496,-3.842390524,0,0
"UCBT","16701947","13808213PE","",,"AN","","BT","BRBBB-FC","",-49.451613313,-3.53053132500003,0,0
"UCBT","15564741","13807911PE","",,"AN","","BT","BRBBB-FC","",-49.538813547,-3.94248074400002,0,0
"UCBT","13106835","13806219PE","",,"AN","","BT","BRBBB-FC","",-49.491033421,-3.60608017200002,0,0
"UCBT","2000087905","8412785PE","",,"ABN","","BT","BRBBB-FC","",-49.418429891,-4.13753844199999,0,0
"UCBT","14311840","13807601PE","",,"AN","","BT","BRBBB-FC","",-49.506033447,-3.82832049500001,0,0
"UCBT","13164789","13806200PE","",,"AN","","BT","BRBBB-FC","",-49.456833372,-3.76607041199998,0,0
"UCBT","14161570","14014728PE","",,"AN","","BT","BRBBB-FC","",-49.507011794,-3.631241714,0,0
"UCBT","12373651","13805817PE","",,"AN","","BT","BRBBB-FC","",-49.538913588,-3.858970494,0,0
"UCBT","13505543","6750183PE","",,"AN","","BT","BRBBB-FC","",-49.423387973,-3.55790051399998,0,0
"UCBT","13505632","13956006PE","",,"AN","","BT","BRBBB-FC","",-49.415893316,-3.54270007299999,0,0
"UCBT","13505675","13806414PE","",,"AN","","BT","BRBBB-FC","",-49.412113217,-3.53746022299998,0,0
"UCBT","13799164","13806814PE","",,"AN","","BT","BRBBB-FC","",-49.450943366,-3.59417015299999,0,0
"UCBT","14343571","13807589PE","",,"AN","","BT","BRBBB-FC","",-49.554024774,-3.50999003200002,0,0
"UCBT","15667400","6758815PE","",,"AN","","BT","BRBBB-FC","",-49.499411352,-4.03410975200001,0,0
"UCBT","16700649","13982480PE","",,"AN","","BT","BRBBB-FC","",-49.450584113,-3.54339109900002,0,0
"UCBT","14082220","17382846PE","",,"AN","","BT","BRBBB-FC","",-49.472574084,-3.79224412999997,0,0
"UCBT","13106800","13806221PE","",,"AN","","BT","BRBBB-FC","",-49.454073376,-3.76811041000002,0,0
"UCBT","11183034","6857614PE","",,"AN","","BT","BRBBB-FC","",-49.524754165,-3.66996004700002,0,0
"UCBT","13505500","13806416PE","",,"AN","","BT","BRBBB-FC","",-49.4610133,-3.56879001800002,0,0
"UCBT","13527717","13806402PE","",,"AN","","BT","BRBBB-FC","",-49.580983553,-3.60200888600002,0,0
"UCBT","13559686","13806380PE","",,"AN","","BT","BRBBB-FC","",-49.487283413,-3.59944016200001,0,0
"UCBT","14806490","8010816PE","",,"AN","","BT","BRBBB-FC","",-49.566073316,-3.68512022800002,0,0
"UCBT","15948523","16195112PE","",,"AN","","BT","BRBBB-FC","",-49.420663329,-3.86823055899998,0,0
"UCBT","15948639","6758414PE","",,"AN","","BT","BRBBB-FC","",-49.458683376,-3.86758055500002,0,0
"UCBT","15949899","6759086PE","",,"AN","","BT","BRBBB-FC","",-49.456322093,-3.85208604100001,0,0
"UCBT","16514411","13808277PE","",,"AN","","BT","BRBBB-FC","",-49.47634123,-4.09355922200001,0,0
"UCBT","15379006","13807962PE","",,"AN","","BT","BRBBB-FC","",-49.430413339,-3.60945017300003,0,0
"UCBT","15926830","15168246PE","",,"AN","","BT","BRBBB-FC","",-49.36179127,-4.08271063500001,0,0
"UCBT","15927275","13956032PE","",,"AN","","BT","BRBBB-FC","",-49.386401126,-4.03367980899998,0,0
"UCBT","15927488","13800924PE","",,"AN","","BT","BRBBB-FC","",-49.402721172,-4.01344953300003,0,0
"UCBT","18446995","6758385PE","",,"AN","","BT","BRBBB-FC","",-49.404503301,-3.71763033399998,0,0
"UCBT","20609273","6861325PE","",,"AN","","BT","BRBBB-FC","",-49.460673379,-3.721370342,0,0
"UCBT","20478110","13798241PE","",,"AN","","BT","BRBBB-FC","",-49.524433269,-3.89828063800002,0,0
"UCBT","19855970","13798187PE","",,"AN","","BT","BRBBB-FC","",-49.542463971,-3.72471018300001,0,0
"UCBT","18447592","14147279PE","",,"AN","","BT","BRBBB-FC","",-49.565773867,-3.60446311200002,0,0
"UCBT","18447690","8012957PE","",,"AN","","BT","BRBBB-FC","",-49.401773015,-3.71874033400002,0,0
"UCBT","18447738","14147280PE","",,"AN","","BT","BRBBB-FC","",-49.565773867,-3.60446311200002,0,0
"UCBT","18327171","6758762PE","",,"AN","","BT","BRBBB-FC","",-49.43033394,-4.25370618900001,0,0
"UCBT","19013774","6904515PE","",,"AN","","BT","BRBBB-FC","",-49.331520821,-4.06188003599999,0,0
"UCBT","19013839","6904517PE","",,"AN","","BT","BRBBB-FC","",-49.331520821,-4.06188003599999,0,0
"UCBT","19028895","13797395PE","",,"AN","","BT","BRBBB-FC","",-49.503391522,-3.543242878,0,0
"UCBT","19028933","6904741PE","",,"AN","","BT","BRBBB-FC","",-49.504424198,-3.53933108799998,0,0
"UCBT","19013960","6904518PE","",,"AN","","BT","BRBBB-FC","",-49.327490815,-4.06994006100001,0,0
"UCBT","19664031","13985596PE","",,"AN","","BT","BRBBB-FC","",-49.469213051,-3.72548054599997,0,0
"UCBT","102684800","13800140PE","",,"AN","","BT","BRBBB-FC","",-49.561793421,-3.56369013,0,0
"UCBT","94950090","13799507PE","",,"AN","","BT","BRBBB-FC","",-49.515173913,-3.64512012900002,0,0
"UCBT","92419967","13985212PE","",,"AN","","BT","BRBBB-FC","",-49.520711525,-4.06070992500003,0,0
"UCBT","90608258","13798401PE","",,"AN","","BT","BRBBB-FC","",-49.478073406,-3.831270507,0,0
"UCBT","99635096","13799984PE","",,"AN","","BT","BRBBB-FC","",-49.496263432,-3.77747042499999,0,0
"UCBT","90846990","15166101PE","",,"AN","","BT","BRBBB-FC","",-49.603963936,-3.44414974099999,0,0
"UCBT","102741366","13800123PE","",,"AN","","BT","BRBBB-FC","",-49.507920614,-3.38266855699999,0,0
"UCBT","97819386","6921546PE","",,"AN","","BT","BRBBB-FC","",-49.608763596,-3.79724044900001,0,0
"UCBT","97819580","13800094PE","",,"AN","","BT","BRBBB-FC","",-49.630973002,-3.81537036999998,0,0
"UCBT","90846027","15166173PE","",,"AN","","BT","BRBBB-FC","",-49.603263774,-3.44494992,0,0
"UCBT","103309395","16362751PE","",,"AN","","BT","BRBBB-FC","",-49.370503949,-3.84012728699997,0,0
"UCBT","104498094","13800717PE","",,"AN","","BT","BRBBB-FC","",-49.379178948,-3.78945350200001,0,0
"UCBT","2000152529","15486533PE","",,"AN","","BT","BRBBB-FC","",-49.588072638,-3.42282766,0,0
"UCBT","2000082702","13799136PE","",,"AN","","BT","BRBBB-FC","",-49.39827564,-3.741140594,0,0
"UCBT","2000152382","16167507PE","",,"AN","","BT","BRBBB-FC","",-49.496263432,-3.77747042499999,0,0
"UCBT","2000082651","13799139PE","",,"AN","","BT","BRBBB-FC","",-49.403369898,-3.741728696,0,0
"UCBT","2000049352","13799025PE","",,"AN","","BT","BRBBB-FC","",-49.553231275,-3.71258387400002,0,0
"UCBT","2000130736","13799267PE","",,"AN","","BT","BRBBB-FC","",-49.45190895,-3.95582397200002,0,0
"UCBT","2000130783","13799266PE","",,"AN","","BT","BRBBB-FC","",-49.432423965,-3.950635385,0,0
"UCBT","2000130787","10756393PE","",,"AN","","BT","BRBBB-FC","",-49.426050434,-3.95486368500002,0,0
"UCBT","2000083187","8578728PE","",,"AN","","BT","BRBBB-FC","",-49.512391559,-3.83872433599998,0,0
"UCBT","2000083233","8413068PE","",,"AN","","BT","BRBBB-FC","",-49.519894733,-3.84392342500001,0,0
"UCBT","2000082771","8412119PE","",,"AN","","BT","BRBBB-FC","",-49.518723949,-3.84474634700001,0,0
"UCBT","2000082919","8701770PE","",,"AN","","BT","BRBBB-FC","",-49.508414781,-3.99306299400001,0,0
"UCBT","2000131456","13802615PE","",,"AN","","BT","BRBBB-FC","",-49.413566271,-3.93027671599998,0,0
"UCBT","2000083103","8741996PE","",,"AN","","BT","BRBBB-FC","",-49.491163429,-3.80261047300002,0,0
"UCBT","2000082743","13799132PE","",,"AN","","BT","BRBBB-FC","",-49.398365145,-3.73646530600001,0,0
"UCBT","109261980","8034461PE","",,"ABN","","BT","BRBBB-FC","",-49.543043605,-3.87524054400001,0,0
"UCBT","2000529397","15685354PE","",,"ABN","","BT","BRBBB-FC","",-49.603263774,-3.44494992,0,0
"UCBT","2000350070","16166681PE","",,"AN","","BT","BRBBB-FC","",-49.529623345,-3.85372042500001,0,0
"UCBT","2000463091","16167761PE","",,"AN","","BT","BRBBB-FC","",-49.505093444,-3.99153073899998,0,0
"UCBT","2000356270","13376419PE","",,"AN","","BT","BRBBB-FC","",-49.388323271,-3.56089009800002,0,0
"UCBT","2000532816","15488798PE","",,"AN","","BT","BRBBB-FC","",-49.576744454,-3.396584996,0,0
"UCBT","2000532840","15535885PE","",,"AN","","BT","BRBBB-FC","",-49.569932256,-3.37779912000002,0,0
"UCBT","2000620387","16270658PE","",,"AN","","BT","BRBBB-FC","",-49.481203469,-3.59243942099999,0,0
"UCBT","2000624012","16563398PE","",,"AN","","BT","BRBBB-FC","",-49.484394199,-3.38318566599997,0,0
"UCBT","11183123","6857615PE","",,"AN","","BT","BRBBB-FC","",-49.504803444,-3.668048984,0,0
"UCBT","13106606","6790696PE","",,"AN","","BT","BRBBB-FC","",-49.394818647,-3.77447071400002,0,0
"UCBT","13106649","16202927PE","",,"AN","","BT","BRBBB-FC","",-49.394818647,-3.77447071400002,0,0
"UCBT","11473229","13805485PE","",,"AN","","BT","BRBBB-FC","",-49.511763457,-3.99289074799998,0,0
"UCBT","11473288","13805483PE","",,"AN","","BT","BRBBB-FC","",-49.513943465,-3.97967072400002,0,0
"UCBT","14059288","13807151PE","",,"AN","","BT","BRBBB-FC","",-49.421993201,-3.77236041399999,0,0
"UCBT","12513623","6859784PE","",,"AN","","BT","BRBBB-FC","",-49.602763504,-3.44584998099998,0,0
"UCBT","16279463","13801098PE","",,"AN","","BT","BRBBB-FC","",-49.536532241,-4.08087035599999,0,0
"UCBT","16279510","6758499PE","",,"AN","","BT","BRBBB-FC","",-49.477795155,-4.08927182500003,0,0
"UCBT","16279544","13985213PE","",,"AN","","BT","BRBBB-FC","",-49.539561436,-4.06200936699997,0,0
"UCBT","16279587","15168059PE","",,"AN","","BT","BRBBB-FC","",-49.482136684,-4.08446209700003,0,0
"UCBT","16279625","13801090PE","",,"AN","","BT","BRBBB-FC","",-49.469208529,-4.11017428600002,0,0
"UCBT","12586493","6859908PE","",,"AN","","BT","BRBBB-FC","",-49.5412235,-3.91861063099998,0,0
"UCBT","13341052","13806118PE","",,"AN","","BT","BRBBB-FC","",-49.481843409,-3.827420496,0,0
